epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6405286192893982,0.8559629321098328,0.0010000000474974513,1.137675404548645,0.6634981036186218,0.6149779558181763,0.8007054924964905,0.9463745355606079,0.5957714319229126,0.8755555748939514,0.6948853731155396
1,0.7766519784927368,0.9354870915412903,0.0010000000474974513,0.6691106557846069,0.796570897102356,0.7572687268257141,0.820105791091919,0.9555433988571167,0.5254254341125488,0.8668032884597778,0.7460317611694336
2,0.8255506753921509,0.9603545665740967,0.0010000000474974513,0.4880307614803314,0.8405863642692566,0.808370053768158,0.8342151641845703,0.959149956703186,0.493368536233902,0.868571400642395,0.8042327761650085
0,0.6299559473991394,0.8522982001304626,0.0010000000474974513,1.1502249240875244,0.6615012288093567,0.6017621159553528,0.8148148059844971,0.9423930048942566,0.5949913859367371,0.8601252436637878,0.7266314029693604
1,0.7735682725906372,0.9381299018859863,0.0010000000474974513,0.6456061005592346,0.7954439520835876,0.7537444829940796,0.8342151641845703,0.9527997970581055,0.525155246257782,0.8657587766647339,0.7848324775695801
2,0.8229075074195862,0.9600789546966553,0.0010000000474974513,0.4963894486427307,0.8444136381149292,0.8057268857955933,0.8253968358039856,0.9539072513580322,0.5195336937904358,0.846441924571991,0.7971781492233276
0,0.634361207485199,0.8648214340209961,0.0010000000474974513,1.073838233947754,0.6588740348815918,0.6083700656890869,0.7813051342964172,0.9378241300582886,0.6346526145935059,0.8514412641525269,0.6772486567497253
1,0.782819390296936,0.9418490529060364,0.0010000000474974513,0.6250318288803101,0.8043578863143921,0.7643171548843384,0.8095238208770752,0.9557263255119324,0.5120047926902771,0.870707094669342,0.7601410746574402
2,0.8242290616035461,0.9617042541503906,0.0010000000474974513,0.4830150604248047,0.8397406339645386,0.7986783981323242,0.8148148059844971,0.9585086703300476,0.4934847354888916,0.857692301273346,0.7865961194038391
0,0.6440528631210327,0.8548168540000916,1.1501829624176025,0.001,0.6671456098556519,0.6136564016342163,0.8165785074234009,0.9493736028671265,0.5883174538612366,0.8722943663597107,0.71075838804245
1,0.7929515242576599,0.9481598138809204,0.5837730765342712,0.001,0.8100275993347168,0.775770902633667,0.8236331343650818,0.9505965709686279,0.5364580750465393,0.8546168804168701,0.7671957612037659
2,0.8546255230903625,0.973470151424408,0.39114129543304443,0.001,0.8728852272033691,0.8409691452980042,0.8271604776382446,0.9515877962112427,0.5402072668075562,0.8639847040176392,0.7954144477844238
